Commune,Date de fin d'autorisation,Date début validité,Date fin validité,Exploitation en eau,Exploitée par,Identifiant,Latitude,Longitude,Nom,Numéro S3IC,Produits,Site en activité,Substances,Type,Volume total (kt),Volume total (m³)
ANDELOT-EN-MONTAGNE,2035,,,Oui,,133244,46.850605714597975,5.917015908017634,,0059.01611,Concassé de roche calcaire,Oui,Roche calcaire,,,
LA ROCHEPOT,2042,,,Oui,,133341,46.96825450528817,4.674003770559069,,0054.00253,Concassé de roche calcaire,Oui,Roche calcaire,,,
SCHAFFHOUSE-PRES-SELTZ,,,,Non,,73501,48.923533,8.095761,,0067.00163,Tuiles et briques,Oui,"Silt, limon",,,
WALLERS-EN-FAGNE,2041,,,Oui,,69132,50.055776,4.174845,,0070.00110,Concassé de roche calcaire,Oui,Roche calcaire,,,
ERBRAY,2015,,,Non,,72884,47.651593,-1.2944,,0063.00040,Agriculture,Oui,Roche calcaire,,,
REIMS-LA-BRULEE,2016,,,Oui,,135695,48.70959077817277,4.680443977927964,,0057.04755,Agriculture,Oui,"Sable, graviers",,,
SAINT-ANDRE,2013,,,Non,,88156,-20.928952,55.666437,,0071.00973,Granulat alluvionnaire,Oui,Alluvion,,,
LINGOLSHEIM,,,,Non,,64827,48.546448999999996,7.669286,,0067.00093,Granulat alluvionnaire,Oui,Alluvion,,,
MAS-SAINTES-PUELLES,2024,,,Non,,88700,43.32295,1.866666,,0066.03715,,Oui,"Sable, graviers",,,
LES BAUX-DE-PROVENCE,2034,,,Oui,,87660,43.748929,4.790164,,0064.01385,Calcaire (PO),Oui,Roche calcaire,,,
ANDELOT-EN-MONTAGNE,2035,,,Oui,,133244,46.850605714597975,5.917015908017634,,0059.01611,Concassé de roche calcaire,Oui,Roche calcaire,,,
LA ROCHEPOT,2042,,,Oui,,133341,46.96825450528817,4.674003770559069,,0054.00253,Concassé de roche calcaire,Oui,Roche calcaire,,,
SCHAFFHOUSE-PRES-SELTZ,,,,Non,,73501,48.923533,8.095761,,0067.00163,Tuiles et briques,Oui,"Silt, limon",,,
WALLERS-EN-FAGNE,2041,,,Oui,,69132,50.055776,4.174845,,0070.00110,Concassé de roche calcaire,Oui,Roche calcaire,,,
ERBRAY,2015,,,Non,,72884,47.651593,-1.2944,,0063.00040,Agriculture,Oui,Roche calcaire,,,
REIMS-LA-BRULEE,2016,,,Oui,,135695,48.70959077817277,4.680443977927964,,0057.04755,Agriculture,Oui,"Sable, graviers",,,
SAINT-ANDRE,2013,,,Non,,88156,-20.928952,55.666437,,0071.00973,Granulat alluvionnaire,Oui,Alluvion,,,
LINGOLSHEIM,,,,Non,,64827,48.546448999999996,7.669286,,0067.00093,Granulat alluvionnaire,Oui,Alluvion,,,
MAS-SAINTES-PUELLES,2024,,,Non,,88700,43.32295,1.866666,,0066.03715,,Oui,"Sable, graviers",,,
LES BAUX-DE-PROVENCE,2034,,,Oui,,87660,43.748929,4.790164,,0064.01385,Calcaire (PO),Oui,Roche calcaire,,,
LES PORTES DU COGLAIS,2050,,,Non,,71676,48.433231,-1.299724,,0055.02862,"Concassé de roche plutonique, Granit (PO)",Oui,"Granite, granodiorite, etc",,,
SASSENAGE,2027,,,Oui,,74330,45.230744,5.641949,,0061.01084,Chaux,Oui,Roche calcaire,,,
BREAL-SOUS-MONTFORT,2022,,,Non,,71574,48.051273,-1.913677,,0055.02717,Concassé de roche métamorphique,Oui,Schiste,,,
ECUELLES,2038,,,Oui,,65735,48.351085,2.832025,,0065.00936,Concassé de roche calcaire,Oui,Roche calcaire,,,
